,scaling factor,time (sec),accel = sin(t/tscale)*ascale,sine argument,vel = (-cos(t/tscale)+1)*vscale,RR vel (m/s),err vel,pos = (-tscale(sin(t/tscale))+t)*vscale,RR pos (meters),error vel,error pos,time (min),vel Km/hr,pos Km,,,,,,,,,,,,,,,,,
,,53.0000000,0.043520880140585,0.1850049,1.156604113196880,1.178363378861070,-0.0217593,20.456680131960700,21.627769256311400,-0.0217593,1.2001226,0.8833333,4.2421082,0.0216278,,,,,,,,,,,,,,,,,
,,54.0000000,0.044332372148979,0.1884956,1.200530783944430,1.222695751010050,-0.0221650,21.635179956184400,22.850465007321500,-0.0221650,1.2448607,0.9000000,4.4017047,0.0228505,,,,,,,,,,,,,,,,,
,,55.0000000,0.045143323981410,0.1919862,1.245268677436110,1.267839074991460,-0.0225704,22.858012107541400,24.118304082312900,-0.0225704,1.2904095,0.9166667,4.5642207,0.0241183,,,,,,,,,,,,,,,,,
,,56.0000000,0.045953725756684,0.1954769,1.290817248554800,1.313792800748140,-0.0229756,24.125987537042100,25.432096883061100,-0.0229756,1.3367684,0.9333333,4.7296541,0.0254321,,,,,,,,,,,,,,,,,
,,57.0000000,0.046763567600312,0.1989675,1.337175942305520,1.360556368348450,-0.0233804,25.439916645637700,26.792653251409500,-0.0233804,1.3839368,0.9500000,4.8980029,0.0267927,,,,,,,,,,,,,,,,,
,,58.0000000,0.047572839644627,0.2024582,1.384344193822240,1.408129207993080,-0.0237850,26.800609274350700,28.200782459402600,-0.0237850,1.4319142,0.9666667,5.0692651,0.0282008,,,,,,,,,,,,,,,,,
,,59.0000000,0.048381532028903,0.2059489,1.432321428374690,1.456510740021980,-0.0241893,28.208874694403600,29.657293199424600,-0.0241893,1.4807001,0.9833333,5.2434387,0.0296573,,,,,,,,,,,,,,,,,
,,60.0000000,0.049189634899480,0.2094395,1.481107061375390,1.505700374921460,-0.0245933,29.665521597359300,31.162993574346100,-0.0245933,1.5302937,1.0000000,5.4205213,0.0311630,,,,,,,,,,,,,,,,,
,,61.0000000,0.049997138409879,0.2129302,1.530700498386840,1.555697513331340,-0.0249970,31.171358085267300,32.718691087677400,-0.0249970,1.5806945,1.0166667,5.6005110,0.0327187,,,,,,,,,,,,,,,,,
,,62.0000000,0.050804032720925,0.2164208,1.581101135128620,1.606501546052270,-0.0254004,32.727191660818800,34.325192633729700,-0.0254004,1.6319020,1.0333333,5.7834056,0.0343252,,,,,,,,,,,,,,,,,
,,63.0000000,0.051610308000865,0.2199115,1.632308357484900,1.658111854053130,-0.0258035,34.333829217505400,35.983304487782800,-0.0258035,1.6839154,1.0500000,5.9692027,0.0359833,,,,,,,,,,,,,,,,,
